Codigo;Descri豫o;Embalagem;EAN;Estoque
900;KIT INFUSION ( SH+CON ) 300 ML;UN;7898702110669;0,00;
901;KIT EQUILIBRIO ( SH+CON ) 300 ML;UN;789870211683;0,00;
902;KIT PERFECT ( SH+CON ) 300 ML;UN;7898702110690;2,00;
903;SHAMPOO USO OBRIGATORIO PLUS 300 ML;UN;7898625791556;-5,00;
905;FRIZZ ZERO 260 ML;UN;7898625791532;16,00;
906;USO OBRIGATORIO PLUS 260 ML;UN;7898625791549;-3,00;
907;CONDICIONADOR USO OBRIGAT. PLUS 300 ML;UN;7898625792874;0,00;
908;MINIATURA SHAMPOO INFUSION 30 ML;UN;7898625791242;232,00;
909;MINIATURA CONDICIONADOR INFUSION 30 ML;UN;7898625791235;11,00;
910;MINI USO OBRIGATORIO SUMMER 30 ML;UN;7898702110010;185,00;
911;SHAMPOO USO OBRIGATORIO 300 ML;UN;7898625791631;-7,00;
912;CONDICIONADOR USO OBRIGATORIO 300 ML;UN;7898625791686;43,00;
913;MASCARA USO OBRIGATORIO 180 GR;UN;7898625791815;37,00;
914;MASCARA USO OBRIGATORIO PLUS 180 gr;UN;7898625791891;21,00;
915;MINI FRIZZ ZERO 30 ML;UN;;378,00;
916;KIT PROMOCIONAL USO OBRIGATORIO;UN;7898625792294;1,00;
917;KIT PROMOCIONAL USO OBRIGATORIO PLUS;UN;7898625792317;0,00;
918;KIT EQUILIBRIO 300 ML GRATIS MINI USO;UN;7898625792348;0,00;
919;SHAMPOO FRIZZ ZERO  300  ML;UN;7898625791808;14,00;
920;CONDICIONADOR FRIZZ ZERO  300  ML;UN;7898625791839;27,00;
921;KIT  FRIZZ ZERO  +  FRIZZ 260 ML;UN;7898625792355;38,00;
922;SHAMPOO EQUILIBRIO 1000 ML;UN;7898625791570;25,00;
923;CONDICIONADOR EQUILIBRIO 1000 ML;UN;7898625791600;45,00;
924;SHAMPOO INFUSION 1000 ML;UN;7898625791594;43,00;
925;CONDICIONADOR INFUSION 1000 ML;UN;7898625791624;6,00;
928;MINIATURA SHAMP USO OBRI 30 ML;UN;7898625791990;113,00;
929;MINIATURA COND USO OBRI PLUS 30 ML;UN;7898625791976;246,00;
930;ILLUMINATTE OIL 60 ML;UN;7898625792577;42,00;
931;SH USO OBRIG PLUS 300 ML GRATIS MINI SH;UN;7898625792881;76,00;
932;COND USO OBRI PLUS 300 ML GRATIS MINI CO;UN;7898625792874;66,00;
